"reference","desc"
"HL/PO/PU/1/1733/7G2n23 ","Copy of letter from the Lord Great Chamberlain to the Lord Chamberlain directing a new throne to be erected for H M in the Prince's Chamber "
"LGC/5/1/33 ","The Lord Great Chamberlain's answer to Lord Sunderland's paper and correspondence between Lord Sunderland and the Lord Great Chamberlain. "
