"County","FIPS","Prevalent Count"
"Accomack County","51001","1,231"
"Albemarle County","51003","1,477"
"Alexandria city","51510","2,265"
"Alleghany County","51005","258"
"Amelia County","51007","379"
"Amherst County","51009","999"
"Appomattox County","51011","491"
"Arlington County","51013","3,307"
"Augusta County","51015","1,124"
"Bath County","51017","88"
"Bedford County","51019","2,080"
"Bland County","51021","252"
"Botetourt County","51023","893"
"Bristol city","51520","477"
"Brunswick County","51025","977"
"Buchanan County","51027","385"
"Buckingham County","51029","427"
"Buena Vista city","51530","143"
"Campbell County","51031","1,509"
"Caroline County","51033","1,020"
"Carroll County","51035","489"
"Charles City County","51036","937"
"Charlotte County","51037","490"
"Charlottesville city","51540","1,247"
"Chesapeake city","51550","7,161"
"Chesterfield County","51041","7,233"
"Clarke County","51043","380"
"Colonial Heights city","51570","410"
"Covington city","51580","309"
"Craig County","51045","86"
"Culpeper County","51047","1,449"
"Cumberland County","51049","164"
"Danville city","51590","2,019"
"Dickenson County","51051","237"
"Dinwiddie County","51053","775"
"Emporia city","51595","565"
"Essex County","51057","264"
"Fairfax city","51600","1,406"
"Fairfax County","51059","16,625"
"Falls Church city","51610","109"
"Fauquier County","51061","1,442"
"Floyd County","51063","241"
"Fluvanna County","51065","532"
"Franklin city","51620","473"
"Franklin County","51067","1,166"
"Frederick County","51069","1,152"
"Fredericksburg city","51630","772"
"Galax city","51640","240"
"Giles County","51071","415"
"Gloucester County","51073","667"
"Goochland County","51075","728"
"Grayson County","51077","176"
"Greene County","51079","258"
"Greensville County","51081","243"
"Halifax County","51083","1,437"
"Hampton city","51650","5,357"
"Hanover County","51085","2,004"
"Harrisonburg city","51660","350"
"Henrico County","51087","5,375"
"Henry County","51089","1,069"
"Highland County","51091","31"
"Hopewell city","51670","574"
"Isle of Wight County","51093","1,024"
"James City County","51095","564"
"King and Queen County","51097","226"
"King George County","51099","517"
"King William County","51101","417"
"Lancaster County","51103","410"
"Lee County","51105","335"
"Lexington city","51678","253"
"Loudoun County","51107","3,353"
"Louisa County","51109","641"
"Lunenburg County","51111","379"
"Lynchburg city","51680","1,995"
"Madison County","51113","306"
"Manassas city","51683","2,030"
"Manassas Park city","51685","*"
"Martinsville city","51690","902"
"Mathews County","51115","140"
"Mecklenburg County","51117","1,035"
"Middlesex County","51119","322"
"Montgomery County","51121","845"
"Nelson County","51125","332"
"New Kent County","51127","331"
"Newport News city","51700","4,278"
"Norfolk city","51710","7,742"
"Northampton County","51131","506"
"Northumberland County","51133","272"
"Norton city","51720","120"
"Nottoway County","51135","404"
"Orange County","51137","951"
"Page County","51139","463"
"Patrick County","51141","290"
"Petersburg city","51730","1,444"
"Pittsylvania County","51143","1,884"
"Poquoson city","51735","52"
"Portsmouth city","51740","4,132"
"Powhatan County","51145","432"
"Prince Edward County","51147","676"
"Prince George County","51149","868"
"Prince William County","51153","6,795"
"Pulaski County","51155","648"
"Radford city","51750","188"
"Rappahannock County","51157","76"
"Richmond city","51760","9,463"
"Richmond County","51159","316"
"Roanoke city","51770","3,370"
"Roanoke County","51161","952"
"Rockbridge County","51163","192"
"Rockingham County","51165","1,046"
"Russell County","51167","335"
"Salem city","51775","533"
"Scott County","51169","339"
"Shenandoah County","51171","700"
"Smyth County","51173","737"
"Southampton County","51175","513"
"Spotsylvania County","51177","1,549"
"Stafford County","51179","2,316"
"Staunton city","51790","725"
"Suffolk city","51800","1,615"
"Surry County","51181","202"
"Sussex County","51183","449"
"Tazewell County","51185","965"
"Unknown","51999","163"
"Virginia Beach city","51810","7,815"
"Warren County","51187","551"
"Washington County","51191","703"
"Waynesboro city","51820","559"
"Westmoreland County","51193","403"
"Williamsburg city","51830","286"
"Winchester city","51840","696"
"Wise County","51195","613"
"Wythe County","51197","608"
"York County","51199","1,453"
