"County","FIPS","Prevalent Count"
"Alameda County","06001","37,810"
"Alpine County","06003","41"
"Amador County","06005","412"
"Butte County","06007","3,960"
"Calaveras County","06009","765"
"Colusa County","06011","466"
"Contra Costa County","06013","25,293"
"Del Norte County","06015","276"
"El Dorado County","06017","2,463"
"Fresno County","06019","23,517"
"Glenn County","06021","658"
"Humboldt County","06023","1,920"
"Imperial County","06025","6,795"
"Inyo County","06027","300"
"Kern County","06029","19,400"
"Kings County","06031","3,784"
"Lake County","06033","1,571"
"Lassen County","06035","328"
"Los Angeles County","06037","278,355"
"Madera County","06039","3,226"
"Marin County","06041","3,498"
"Mariposa County","06043","182"
"Mendocino County","06045","1,645"
"Merced County","06047","7,001"
"Modoc County","06049","82"
"Mono County","06051","219"
"Monterey County","06053","9,411"
"Napa County","06055","3,388"
"Nevada County","06057","1,331"
"Orange County","06059","61,651"
"Placer County","06061","5,573"
"Plumas County","06063","219"
"Riverside County","06065","51,001"
"Sacramento County","06067","37,930"
"San Benito County","06069","1,070"
"San Bernardino County","06071","49,684"
"San Diego County","06073","62,472"
"San Francisco County","06075","20,038"
"San Joaquin County","06077","18,150"
"San Luis Obispo County","06079","4,559"
"San Mateo County","06081","16,464"
"Santa Barbara County","06083","6,763"
"Santa Clara County","06085","37,711"
"Santa Cruz County","06087","3,817"
"Shasta County","06089","3,082"
"Sierra County","06091","27"
"Siskiyou County","06093","618"
"Solano County","06095","12,993"
"Sonoma County","06097","8,147"
"Stanislaus County","06099","13,110"
"Sutter County","06101","2,039"
"Tehama County","06103","1,018"
"Trinity County","06105","227"
"Tulare County","06107","9,925"
"Tuolumne County","06109","796"
"Unknown","06999","776"
"Ventura County","06111","16,411"
"Yolo County","06113","3,283"
"Yuba County","06115","1,271"
