"County","FIPS","Prevalent Count"
"Adams County","28001","1,319"
"Alcorn County","28003","737"
"Amite County","28005","556"
"Attala County","28007","806"
"Benton County","28009","481"
"Bolivar County","28011","1,718"
"Calhoun County","28013","485"
"Carroll County","28015","569"
"Chickasaw County","28017","681"
"Choctaw County","28019","304"
"Claiborne County","28021","366"
"Clarke County","28023","928"
"Clay County","28025","907"
"Coahoma County","28027","1,166"
"Copiah County","28029","1,096"
"Covington County","28031","1,230"
"DeSoto County","28033","3,651"
"Forrest County","28035","2,204"
"Franklin County","28037","318"
"George County","28039","491"
"Greene County","28041","292"
"Grenada County","28043","845"
"Hancock County","28045","1,096"
"Harrison County","28047","5,089"
"Hinds County","28049","10,088"
"Holmes County","28051","1,155"
"Humphreys County","28053","624"
"Issaquena County","28055","155"
"Itawamba County","28057","435"
"Jackson County","28059","2,797"
"Jasper County","28061","869"
"Jefferson County","28063","378"
"Jefferson Davis County","28065","611"
"Jones County","28067","1,665"
"Kemper County","28069","564"
"Lafayette County","28071","995"
"Lamar County","28073","569"
"Lauderdale County","28075","1,714"
"Lawrence County","28077","582"
"Leake County","28079","756"
"Lee County","28081","1,909"
"Leflore County","28083","1,222"
"Lincoln County","28085","980"
"Lowndes County","28087","2,261"
"Madison County","28089","2,453"
"Marion County","28091","804"
"Marshall County","28093","1,195"
"Monroe County","28095","1,082"
"Montgomery County","28097","491"
"Neshoba County","28099","1,094"
"Newton County","28101","705"
"Noxubee County","28103","461"
"Oktibbeha County","28105","1,050"
"Panola County","28107","1,224"
"Pearl River County","28109","1,273"
"Perry County","28111","293"
"Pike County","28113","1,392"
"Pontotoc County","28115","523"
"Prentiss County","28117","533"
"Quitman County","28119","254"
"Rankin County","28121","2,534"
"Scott County","28123","895"
"Sharkey County","28125","239"
"Simpson County","28127","707"
"Smith County","28129","337"
"Stone County","28131","338"
"Sunflower County","28133","1,034"
"Tallahatchie County","28135","520"
"Tate County","28137","777"
"Tippah County","28139","482"
"Tishomingo County","28141","270"
"Tunica County","28143","521"
"Union County","28145","428"
"Unknown","28999","20"
"Walthall County","28147","344"
"Warren County","28149","1,301"
"Washington County","28151","1,793"
"Wayne County","28153","465"
"Webster County","28155","140"
"Wilkinson County","28157","317"
"Winston County","28159","793"
"Yalobusha County","28161","386"
"Yazoo County","28163","874"
