"County","FIPS","Prevalent Count"
"Adams County","38001","35"
"Barnes County","38003","166"
"Benson County","38005","243"
"Billings County","38007","17"
"Bottineau County","38009","132"
"Bowman County","38011","13"
"Burke County","38013","22"
"Burleigh County","38015","1,632"
"Cass County","38017","2,406"
"Cavalier County","38019","50"
"Dickey County","38021","108"
"Divide County","38023","23"
"Dunn County","38025","91"
"Eddy County","38027","31"
"Emmons County","38029","56"
"Foster County","38031","67"
"Golden Valley County","38033","*"
"Grand Forks County","38035","1,223"
"Grant County","38037","18"
"Griggs County","38039","44"
"Hettinger County","38041","38"
"Kidder County","38043","23"
"LaMoure County","38045","75"
"Logan County","38047","32"
"McHenry County","38049","71"
"McIntosh County","38051","62"
"McKenzie County","38053","192"
"McLean County","38055","196"
"Mercer County","38057","119"
"Morton County","38059","684"
"Mountrail County","38061","221"
"Nelson County","38063","39"
"Oliver County","38065","35"
"Pembina County","38067","82"
"Pierce County","38069","45"
"Ramsey County","38071","229"
"Ransom County","38073","72"
"Renville County","38075","20"
"Richland County","38077","207"
"Rolette County","38079","436"
"Sargent County","38081","55"
"Sheridan County","38083","13"
"Sioux County","38085","223"
"Stark County","38089","313"
"Steele County","38091","36"
"Stutsman County","38093","444"
"Towner County","38095","19"
"Traill County","38097","113"
"Unknown","38999","20"
"Walsh County","38099","157"
"Ward County","38101","731"
"Wells County","38103","30"
"Williams County","38105","287"
