"County","FIPS","Prevalent Count"
"Adair County","21001","511"
"Allen County","21003","291"
"Anderson County","21005","479"
"Ballard County","21007","205"
"Barren County","21009","760"
"Bath County","21011","401"
"Bell County","21013","474"
"Boone County","21015","2,140"
"Bourbon County","21017","847"
"Boyd County","21019","1,077"
"Boyle County","21021","626"
"Bracken County","21023","198"
"Breathitt County","21025","337"
"Breckinridge County","21027","351"
"Bullitt County","21029","1,395"
"Butler County","21031","400"
"Caldwell County","21033","343"
"Calloway County","21035","736"
"Campbell County","21037","1,435"
"Carlisle County","21039","108"
"Carroll County","21041","260"
"Carter County","21043","546"
"Casey County","21045","293"
"Christian County","21047","1,390"
"Clark County","21049","1,016"
"Clay County","21051","580"
"Clinton County","21053","179"
"Crittenden County","21055","146"
"Cumberland County","21057","75"
"Daviess County","21059","1,407"
"Edmonson County","21061","136"
"Elliott County","21063","211"
"Estill County","21065","351"
"Fayette County","21067","4,858"
"Fleming County","21069","298"
"Floyd County","21071","893"
"Franklin County","21073","992"
"Fulton County","21075","172"
"Gallatin County","21077","170"
"Garrard County","21079","355"
"Grant County","21081","523"
"Graves County","21083","584"
"Grayson County","21085","372"
"Green County","21087","172"
"Greenup County","21089","858"
"Hancock County","21091","73"
"Hardin County","21093","2,058"
"Harlan County","21095","571"
"Harrison County","21097","245"
"Hart County","21099","210"
"Henderson County","21101","730"
"Henry County","21103","354"
"Hickman County","21105","69"
"Hopkins County","21107","1,099"
"Jackson County","21109","296"
"Jefferson County","21111","17,892"
"Jessamine County","21113","738"
"Johnson County","21115","579"
"Kenton County","21117","2,455"
"Knott County","21119","376"
"Knox County","21121","473"
"Larue County","21123","138"
"Laurel County","21125","653"
"Lawrence County","21127","308"
"Lee County","21129","78"
"Leslie County","21131","263"
"Letcher County","21133","442"
"Lewis County","21135","281"
"Lincoln County","21137","369"
"Livingston County","21139","105"
"Logan County","21141","390"
"Lyon County","21143","108"
"Madison County","21151","1,325"
"Magoffin County","21153","166"
"Marion County","21155","477"
"Marshall County","21157","326"
"Martin County","21159","275"
"Mason County","21161","452"
"McCracken County","21145","1,163"
"McCreary County","21147","312"
"McLean County","21149","142"
"Meade County","21163","332"
"Menifee County","21165","90"
"Mercer County","21167","409"
"Metcalfe County","21169","156"
"Monroe County","21171","141"
"Montgomery County","21173","365"
"Morgan County","21175","151"
"Muhlenberg County","21177","656"
"Nelson County","21179","662"
"Nicholas County","21181","106"
"Ohio County","21183","261"
"Oldham County","21185","725"
"Owen County","21187","136"
"Owsley County","21189","72"
"Pendleton County","21191","153"
"Perry County","21193","666"
"Pike County","21195","1,288"
"Powell County","21197","142"
"Pulaski County","21199","1,017"
"Robertson County","21201","13"
"Rockcastle County","21203","275"
"Rowan County","21205","320"
"Russell County","21207","194"
"Scott County","21209","632"
"Shelby County","21211","560"
"Simpson County","21213","415"
"Spencer County","21215","170"
"Taylor County","21217","490"
"Todd County","21219","167"
"Trigg County","21221","229"
"Trimble County","21223","97"
"Union County","21225","192"
"Unknown","21999","67"
"Warren County","21227","1,290"
"Washington County","21229","175"
"Wayne County","21231","220"
"Webster County","21233","212"
"Whitley County","21235","617"
"Wolfe County","21237","98"
"Woodford County","21239","317"
