"County","FIPS","Prevalent Count"
"Adams County","42001","1,779"
"Allegheny County","42003","30,124"
"Armstrong County","42005","1,559"
"Beaver County","42007","3,851"
"Bedford County","42009","1,151"
"Berks County","42011","7,112"
"Blair County","42013","2,498"
"Bradford County","42015","983"
"Bucks County","42017","10,933"
"Butler County","42019","2,671"
"Cambria County","42021","3,331"
"Cameron County","42023","72"
"Carbon County","42025","1,719"
"Centre County","42027","1,464"
"Chester County","42029","7,058"
"Clarion County","42031","670"
"Clearfield County","42033","1,979"
"Clinton County","42035","638"
"Columbia County","42037","1,367"
"Crawford County","42039","1,639"
"Cumberland County","42041","4,091"
"Dauphin County","42043","6,523"
"Delaware County","42045","12,174"
"Elk County","42047","585"
"Erie County","42049","4,921"
"Fayette County","42051","3,318"
"Forest County","42053","161"
"Franklin County","42055","2,495"
"Fulton County","42057","205"
"Greene County","42059","762"
"Huntingdon County","42061","863"
"Indiana County","42063","1,533"
"Jefferson County","42065","772"
"Juniata County","42067","410"
"Lackawanna County","42069","4,190"
"Lancaster County","42071","7,855"
"Lawrence County","42073","2,210"
"Lebanon County","42075","2,448"
"Lehigh County","42077","7,475"
"Luzerne County","42079","5,482"
"Lycoming County","42081","2,036"
"McKean County","42083","899"
"Mercer County","42085","2,041"
"Mifflin County","42087","1,005"
"Monroe County","42089","3,520"
"Montgomery County","42091","14,154"
"Montour County","42093","420"
"Northampton County","42095","5,420"
"Northumberland County","42097","1,775"
"Perry County","42099","803"
"Philadelphia County","42101","55,154"
"Pike County","42103","576"
"Potter County","42105","281"
"Schuylkill County","42107","2,445"
"Snyder County","42109","669"
"Somerset County","42111","1,235"
"Sullivan County","42113","58"
"Susquehanna County","42115","587"
"Tioga County","42117","576"
"Union County","42119","502"
"Unknown","42999","243"
"Venango County","42121","825"
"Warren County","42123","621"
"Washington County","42125","4,319"
"Wayne County","42127","1,027"
"Westmoreland County","42129","6,285"
"Wyoming County","42131","519"
"York County","42133","6,942"
