"County","FIPS","Prevalent Count"
"Acadia Parish","22001","1,521"
"Allen Parish","22003","528"
"Ascension Parish","22005","2,233"
"Assumption Parish","22007","860"
"Avoyelles Parish","22009","1,134"
"Beauregard Parish","22011","777"
"Bienville Parish","22013","704"
"Bossier Parish","22015","3,343"
"Caddo Parish","22017","9,578"
"Calcasieu Parish","22019","3,885"
"Caldwell Parish","22021","241"
"Cameron Parish","22023","61"
"Catahoula Parish","22025","233"
"Claiborne Parish","22027","636"
"Concordia Parish","22029","471"
"De Soto Parish","22031","1,019"
"East Baton Rouge Parish","22033","13,344"
"East Carroll Parish","22035","390"
"East Feliciana Parish","22037","596"
"Evangeline Parish","22039","918"
"Franklin Parish","22041","538"
"Grant Parish","22043","308"
"Iberia Parish","22045","2,107"
"Iberville Parish","22047","1,156"
"Jackson Parish","22049","503"
"Jefferson Davis Parish","22053","661"
"Jefferson Parish","22051","11,353"
"La Salle Parish","22059","264"
"Lafayette Parish","22055","4,478"
"Lafourche Parish","22057","1,866"
"Lincoln Parish","22061","1,046"
"Livingston Parish","22063","1,932"
"Madison Parish","22065","331"
"Morehouse Parish","22067","1,124"
"Natchitoches Parish","22069","1,135"
"Orleans Parish","22071","13,276"
"Ouachita Parish","22073","4,310"
"Plaquemines Parish","22075","427"
"Pointe Coupee Parish","22077","620"
"Rapides Parish","22079","2,862"
"Red River Parish","22081","213"
"Richland Parish","22083","558"
"Sabine Parish","22085","538"
"St. Bernard Parish","22087","656"
"St. Charles Parish","22089","1,331"
"St. Helena Parish","22091","313"
"St. James Parish","22093","849"
"St. John the Baptist Parish","22095","1,398"
"St. Landry Parish","22097","2,155"
"St. Martin Parish","22099","905"
"St. Mary Parish","22101","1,258"
"St. Tammany Parish","22103","5,279"
"Tangipahoa Parish","22105","3,045"
"Tensas Parish","22107","179"
"Terrebonne Parish","22109","2,486"
"Union Parish","22111","561"
"Unknown","22999","54"
"Vermilion Parish","22113","999"
"Vernon Parish","22115","708"
"Washington Parish","22117","1,342"
"Webster Parish","22119","1,273"
"West Baton Rouge Parish","22121","568"
"West Carroll Parish","22123","254"
"West Feliciana Parish","22125","322"
"Winn Parish","22127","311"
