"County","FIPS","Prevalent Count"
"Androscoggin County","23001","1,554"
"Aroostook County","23003","835"
"Cumberland County","23005","3,664"
"Franklin County","23007","352"
"Hancock County","23009","893"
"Kennebec County","23011","1,906"
"Knox County","23013","553"
"Lincoln County","23015","343"
"Oxford County","23017","737"
"Penobscot County","23019","2,364"
"Piscataquis County","23021","213"
"Sagadahoc County","23023","563"
"Somerset County","23025","766"
"Waldo County","23027","520"
"Washington County","23029","470"
"York County","23031","2,623"
