"County","FIPS","Prevalent Count"
"Adair County","40001","846"
"Alfalfa County","40003","73"
"Atoka County","40005","268"
"Beaver County","40007","24"
"Beckham County","40009","352"
"Blaine County","40011","220"
"Bryan County","40013","776"
"Caddo County","40015","803"
"Canadian County","40017","1,801"
"Carter County","40019","1,048"
"Cherokee County","40021","1,212"
"Choctaw County","40023","317"
"Cimarron County","40025","21"
"Cleveland County","40027","3,904"
"Coal County","40029","92"
"Comanche County","40031","2,227"
"Cotton County","40033","86"
"Craig County","40035","524"
"Creek County","40037","1,591"
"Custer County","40039","619"
"Delaware County","40041","834"
"Dewey County","40043","52"
"Ellis County","40045","48"
"Garfield County","40047","880"
"Garvin County","40049","594"
"Grady County","40051","841"
"Grant County","40053","88"
"Greer County","40055","91"
"Harmon County","40057","58"
"Harper County","40059","64"
"Haskell County","40061","186"
"Hughes County","40063","377"
"Jackson County","40065","504"
"Jefferson County","40067","121"
"Johnston County","40069","345"
"Kay County","40071","905"
"Kingfisher County","40073","211"
"Kiowa County","40075","174"
"Latimer County","40077","157"
"Le Flore County","40079","812"
"Lincoln County","40081","529"
"Logan County","40083","626"
"Love County","40085","150"
"Major County","40093","126"
"Marshall County","40095","269"
"Mayes County","40097","807"
"McClain County","40087","506"
"McCurtain County","40089","811"
"McIntosh County","40091","510"
"Murray County","40099","256"
"Muskogee County","40101","1,780"
"Noble County","40103","171"
"Nowata County","40105","269"
"Okfuskee County","40107","277"
"Oklahoma County","40109","15,351"
"Okmulgee County","40111","850"
"Osage County","40113","818"
"Ottawa County","40115","483"
"Pawnee County","40117","297"
"Payne County","40119","778"
"Pittsburg County","40121","844"
"Pontotoc County","40123","728"
"Pottawatomie County","40125","1,477"
"Pushmataha County","40127","123"
"Roger Mills County","40129","59"
"Rogers County","40131","1,347"
"Seminole County","40133","664"
"Sequoyah County","40135","942"
"Stephens County","40137","606"
"Texas County","40139","139"
"Tillman County","40141","172"
"Tulsa County","40143","12,221"
"Unknown","40999","*"
"Wagoner County","40145","579"
"Washington County","40147","727"
"Washita County","40149","136"
"Woods County","40151","95"
"Woodward County","40153","302"
