"County","FIPS","Prevalent Count"
"Albany County","56001","322"
"Big Horn County","56003","173"
"Campbell County","56005","395"
"Carbon County","56007","172"
"Converse County","56009","96"
"Crook County","56011","39"
"Fremont County","56013","689"
"Goshen County","56015","136"
"Hot Springs County","56017","71"
"Johnson County","56019","48"
"Laramie County","56021","1,331"
"Lincoln County","56023","126"
"Natrona County","56025","976"
"Niobrara County","56027","17"
"Park County","56029","326"
"Platte County","56031","97"
"Sheridan County","56033","291"
"Sublette County","56035","57"
"Sweetwater County","56037","534"
"Teton County","56039","78"
"Uinta County","56041","195"
"Washakie County","56043","48"
"Weston County","56045","23"
