"County","FIPS","Prevalent Count"
"Adams County","31001","387"
"Antelope County","31003","99"
"Arthur County","31005","27"
"Boone County","31011","70"
"Box Butte County","31013","218"
"Boyd County","31015","32"
"Brown County","31017","55"
"Buffalo County","31019","631"
"Burt County","31021","174"
"Butler County","31023","223"
"Cass County","31025","347"
"Cedar County","31027","164"
"Chase County","31029","74"
"Cherry County","31031","175"
"Cheyenne County","31033","111"
"Clay County","31035","116"
"Colfax County","31037","137"
"Cuming County","31039","132"
"Custer County","31041","200"
"Dakota County","31043","278"
"Dawes County","31045","127"
"Dawson County","31047","328"
"Deuel County","31049","39"
"Dixon County","31051","215"
"Dodge County","31053","556"
"Douglas County","31055","10,757"
"Dundy County","31057","12"
"Fillmore County","31059","68"
"Franklin County","31061","86"
"Frontier County","31063","56"
"Furnas County","31065","63"
"Gage County","31067","408"
"Garden County","31069","39"
"Garfield County","31071","23"
"Gosper County","31073","40"
"Grant County","31075","12"
"Greeley County","31077","25"
"Hall County","31079","1,093"
"Hamilton County","31081","186"
"Harlan County","31083","58"
"Hayes County","31085","*"
"Hitchcock County","31087","16"
"Holt County","31089","171"
"Hooker County","31091","*"
"Howard County","31093","127"
"Jefferson County","31095","153"
"Johnson County","31097","45"
"Kearney County","31099","109"
"Keith County","31101","163"
"Keya Paha County","31103","*"
"Kimball County","31105","27"
"Knox County","31107","205"
"Lancaster County","31109","4,101"
"Lincoln County","31111","547"
"Logan County","31113","21"
"Madison County","31119","614"
"Merrick County","31121","74"
"Morrill County","31123","67"
"Nance County","31125","58"
"Nemaha County","31127","116"
"Nuckolls County","31129","91"
"Otoe County","31131","188"
"Pawnee County","31133","15"
"Perkins County","31135","33"
"Phelps County","31137","68"
"Pierce County","31139","96"
"Platte County","31141","480"
"Polk County","31143","107"
"Red Willow County","31145","210"
"Richardson County","31147","188"
"Rock County","31149","11"
"Saline County","31151","174"
"Sarpy County","31153","1,765"
"Saunders County","31155","259"
"Scotts Bluff County","31157","860"
"Seward County","31159","130"
"Sheridan County","31161","93"
"Sherman County","31163","14"
"Sioux County","31165","*"
"Stanton County","31167","46"
"Thayer County","31169","14"
"Thomas County","31171","*"
"Thurston County","31173","419"
"Unknown","31999","14"
"Valley County","31175","47"
"Washington County","31177","252"
"Wayne County","31179","55"
"Webster County","31181","34"
"Wheeler County","31183","*"
"York County","31185","253"
