"County","FIPS","Prevalent Count"
"Adams County","39001","546"
"Allen County","39003","2,422"
"Ashland County","39005","1,142"
"Ashtabula County","39007","2,712"
"Athens County","39009","698"
"Auglaize County","39011","778"
"Belmont County","39013","1,207"
"Brown County","39015","1,015"
"Butler County","39017","7,234"
"Carroll County","39019","406"
"Champaign County","39021","786"
"Clark County","39023","2,768"
"Clermont County","39025","3,161"
"Clinton County","39027","1,201"
"Columbiana County","39029","2,365"
"Coshocton County","39031","671"
"Crawford County","39033","1,110"
"Cuyahoga County","39035","40,110"
"Darke County","39037","1,053"
"Defiance County","39039","1,014"
"Delaware County","39041","2,655"
"Erie County","39043","2,092"
"Fairfield County","39045","2,929"
"Fayette County","39047","426"
"Franklin County","39049","23,997"
"Fulton County","39051","954"
"Gallia County","39053","621"
"Geauga County","39055","1,709"
"Greene County","39057","2,470"
"Guernsey County","39059","647"
"Hamilton County","39061","22,728"
"Hancock County","39063","1,672"
"Hardin County","39065","557"
"Harrison County","39067","268"
"Henry County","39069","458"
"Highland County","39071","620"
"Hocking County","39073","356"
"Holmes County","39075","339"
"Huron County","39077","1,204"
"Jackson County","39079","721"
"Jefferson County","39081","1,482"
"Knox County","39083","1,037"
"Lake County","39085","3,590"
"Lawrence County","39087","1,441"
"Licking County","39089","2,517"
"Logan County","39091","788"
"Lorain County","39093","6,354"
"Lucas County","39095","11,834"
"Madison County","39097","653"
"Mahoning County","39099","6,509"
"Marion County","39101","1,316"
"Medina County","39103","2,677"
"Meigs County","39105","313"
"Mercer County","39107","551"
"Miami County","39109","1,564"
"Monroe County","39111","255"
"Montgomery County","39113","13,067"
"Morgan County","39115","195"
"Morrow County","39117","436"
"Muskingum County","39119","1,666"
"Noble County","39121","157"
"Ottawa County","39123","1,036"
"Paulding County","39125","350"
"Perry County","39127","666"
"Pickaway County","39129","820"
"Pike County","39131","529"
"Portage County","39133","2,778"
"Preble County","39135","875"
"Putnam County","39137","546"
"Richland County","39139","2,741"
"Ross County","39141","1,314"
"Sandusky County","39143","1,191"
"Scioto County","39145","1,464"
"Seneca County","39147","1,053"
"Shelby County","39149","611"
"Stark County","39151","7,281"
"Summit County","39153","10,696"
"Trumbull County","39155","4,547"
"Tuscarawas County","39157","1,467"
"Union County","39159","407"
"Unknown","39999","276"
"Van Wert County","39161","447"
"Vinton County","39163","222"
"Warren County","39165","2,362"
"Washington County","39167","1,072"
"Wayne County","39169","1,556"
"Williams County","39171","562"
"Wood County","39173","2,171"
"Wyandot County","39175","456"
