"County","FIPS","Prevalent Count"
"Alachua County","12001","5,291"
"Baker County","12003","508"
"Bay County","12005","3,440"
"Bradford County","12007","1,104"
"Brevard County","12009","11,899"
"Broward County","12011","41,757"
"Calhoun County","12013","219"
"Charlotte County","12015","3,624"
"Citrus County","12017","2,863"
"Clay County","12019","3,237"
"Collier County","12021","5,467"
"Columbia County","12023","1,721"
"DeSoto County","12027","532"
"Dixie County","12029","296"
"Duval County","12031","25,100"
"Escambia County","12033","7,984"
"Flagler County","12035","2,329"
"Franklin County","12037","198"
"Gadsden County","12039","1,501"
"Gilchrist County","12041","309"
"Glades County","12043","396"
"Gulf County","12045","304"
"Hamilton County","12047","271"
"Hardee County","12049","620"
"Hendry County","12051","919"
"Hernando County","12053","3,099"
"Highlands County","12055","2,796"
"Hillsborough County","12057","26,222"
"Holmes County","12059","347"
"Indian River County","12061","3,025"
"Jackson County","12063","1,245"
"Jefferson County","12065","342"
"Lafayette County","12067","71"
"Lake County","12069","8,963"
"Lee County","12071","11,161"
"Leon County","12073","3,998"
"Levy County","12075","843"
"Liberty County","12077","99"
"Madison County","12079","559"
"Manatee County","12081","5,890"
"Marion County","12083","8,121"
"Martin County","12085","2,385"
"Miami-Dade County","12086","56,112"
"Monroe County","12087","852"
"Nassau County","12089","1,312"
"Okaloosa County","12091","3,673"
"Okeechobee County","12093","629"
"Orange County","12095","25,400"
"Osceola County","12097","8,277"
"Palm Beach County","12099","28,723"
"Pasco County","12101","8,540"
"Pinellas County","12103","19,339"
"Polk County","12105","12,743"
"Putnam County","12107","1,743"
"Santa Rosa County","12113","2,271"
"Sarasota County","12115","7,389"
"Seminole County","12117","6,809"
"St. Johns County","12109","3,053"
"St. Lucie County","12111","6,968"
"Sumter County","12119","1,253"
"Suwannee County","12121","816"
"Taylor County","12123","357"
"Union County","12125","190"
"Unknown","12999","1,603"
"Volusia County","12127","11,018"
"Wakulla County","12129","377"
"Walton County","12131","1,029"
"Washington County","12133","407"
