"County","FIPS","Prevalent Count"
"Aurora County","46003","23"
"Beadle County","46005","366"
"Bennett County","46007","116"
"Bon Homme County","46009","83"
"Brookings County","46011","380"
"Brown County","46013","668"
"Brule County","46015","204"
"Buffalo County","46017","99"
"Butte County","46019","205"
"Campbell County","46021","31"
"Charles Mix County","46023","244"
"Clark County","46025","60"
"Clay County","46027","148"
"Codington County","46029","507"
"Corson County","46031","145"
"Custer County","46033","144"
"Davison County","46035","400"
"Day County","46037","113"
"Deuel County","46039","40"
"Dewey County","46041","421"
"Douglas County","46043","20"
"Edmunds County","46045","39"
"Fall River County","46047","148"
"Faulk County","46049","67"
"Grant County","46051","115"
"Gregory County","46053","110"
"Haakon County","46055","38"
"Hamlin County","46057","50"
"Hand County","46059","20"
"Hanson County","46061","64"
"Harding County","46063","19"
"Hughes County","46065","282"
"Hutchinson County","46067","73"
"Hyde County","46069","25"
"Jackson County","46071","125"
"Jerauld County","46073","16"
"Jones County","46075","14"
"Kingsbury County","46077","79"
"Lake County","46079","126"
"Lawrence County","46081","422"
"Lincoln County","46083","618"
"Lyman County","46085","120"
"Marshall County","46091","100"
"McCook County","46087","67"
"McPherson County","46089","26"
"Meade County","46093","632"
"Mellette County","46095","82"
"Miner County","46097","44"
"Minnehaha County","46099","2,665"
"Moody County","46101","98"
"Pennington County","46103","1,588"
"Perkins County","46105","19"
"Potter County","46107","25"
"Roberts County","46109","204"
"Sanborn County","46111","24"
"Shannon County","46113","928"
"Spink County","46115","67"
"Stanley County","46117","60"
"Sully County","46119","33"
"Todd County","46121","462"
"Tripp County","46123","50"
"Turner County","46125","102"
"Union County","46127","234"
"Unknown","46999","20"
"Walworth County","46129","72"
"Yankton County","46135","336"
"Ziebach County","46137","63"
