"County","FIPS","Prevalent Count"
"Adams County","53001","216"
"Asotin County","53003","397"
"Benton County","53005","3,265"
"Chelan County","53007","897"
"Clallam County","53009","999"
"Clark County","53011","7,185"
"Columbia County","53013","117"
"Cowlitz County","53015","1,724"
"Douglas County","53017","1,034"
"Ferry County","53019","102"
"Franklin County","53021","1,414"
"Garfield County","53023","35"
"Grant County","53025","1,444"
"Grays Harbor County","53027","1,443"
"Island County","53029","1,300"
"Jefferson County","53031","358"
"King County","53033","32,542"
"Kitsap County","53035","3,680"
"Kittitas County","53037","622"
"Klickitat County","53039","302"
"Lewis County","53041","1,187"
"Lincoln County","53043","208"
"Mason County","53045","918"
"Okanogan County","53047","763"
"Pacific County","53049","440"
"Pend Oreille County","53051","231"
"Pierce County","53053","14,320"
"San Juan County","53055","136"
"Skagit County","53057","2,162"
"Skamania County","53059","103"
"Snohomish County","53061","10,906"
"Spokane County","53063","7,581"
"Stevens County","53065","502"
"Thurston County","53067","3,784"
"Unknown","53999","69"
"Wahkiakum County","53069","69"
"Walla Walla County","53071","1,110"
"Whatcom County","53073","2,525"
"Whitman County","53075","320"
"Yakima County","53077","4,018"
