"County","FIPS","Prevalent Count"
"Adams County","17001","1,170"
"Alexander County","17003","250"
"Bond County","17005","316"
"Boone County","17007","1,577"
"Brown County","17009","57"
"Bureau County","17011","839"
"Calhoun County","17013","87"
"Carroll County","17015","368"
"Cass County","17017","257"
"Champaign County","17019","2,941"
"Christian County","17021","644"
"Clark County","17023","251"
"Clay County","17025","289"
"Clinton County","17027","588"
"Coles County","17029","798"
"Cook County","17031","154,986"
"Crawford County","17033","415"
"Cumberland County","17035","129"
"De Witt County","17039","290"
"DeKalb County","17037","1,877"
"Douglas County","17041","159"
"DuPage County","17043","16,424"
"Edgar County","17045","309"
"Edwards County","17047","122"
"Effingham County","17049","669"
"Fayette County","17051","357"
"Ford County","17053","196"
"Franklin County","17055","915"
"Fulton County","17057","719"
"Gallatin County","17059","154"
"Greene County","17061","138"
"Grundy County","17063","1,007"
"Hamilton County","17065","196"
"Hancock County","17067","240"
"Hardin County","17069","106"
"Henderson County","17071","119"
"Henry County","17073","830"
"Iroquois County","17075","569"
"Jackson County","17077","1,162"
"Jasper County","17079","100"
"Jefferson County","17081","928"
"Jersey County","17083","452"
"Jo Daviess County","17085","313"
"Johnson County","17087","230"
"Kane County","17089","11,881"
"Kankakee County","17091","2,681"
"Kendall County","17093","2,028"
"Knox County","17095","1,128"
"Lake County","17097","13,983"
"LaSalle County","17099","1,760"
"Lawrence County","17101","289"
"Lee County","17103","776"
"Livingston County","17105","609"
"Logan County","17107","437"
"Macon County","17115","2,552"
"Macoupin County","17117","1,050"
"Madison County","17119","5,186"
"Marion County","17121","711"
"Marshall County","17123","291"
"Mason County","17125","269"
"Massac County","17127","324"
"McDonough County","17109","350"
"McHenry County","17111","4,358"
"McLean County","17113","2,322"
"Menard County","17129","187"
"Mercer County","17131","365"
"Monroe County","17133","380"
"Montgomery County","17135","565"
"Morgan County","17137","677"
"Moultrie County","17139","210"
"Ogle County","17141","1,077"
"Peoria County","17143","4,151"
"Perry County","17145","539"
"Piatt County","17147","178"
"Pike County","17149","293"
"Pope County","17151","72"
"Pulaski County","17153","166"
"Putnam County","17155","61"
"Randolph County","17157","514"
"Richland County","17159","274"
"Rock Island County","17161","3,310"
"Saline County","17165","564"
"Sangamon County","17167","4,262"
"Schuyler County","17169","112"
"Scott County","17171","69"
"Shelby County","17173","422"
"St. Clair County","17163","6,728"
"Stark County","17175","51"
"Stephenson County","17177","1,075"
"Tazewell County","17179","2,145"
"Union County","17181","303"
"Unknown","17999","1,827"
"Vermilion County","17183","1,570"
"Wabash County","17185","182"
"Warren County","17187","202"
"Washington County","17189","121"
"Wayne County","17191","227"
"White County","17193","168"
"Whiteside County","17195","1,001"
"Will County","17197","10,304"
"Williamson County","17199","1,305"
"Winnebago County","17201","5,641"
"Woodford County","17203","380"
