"County","FIPS","Prevalent Count"
"Appling County","13001","748"
"Atkinson County","13003","251"
"Bacon County","13005","253"
"Baker County","13007","322"
"Baldwin County","13009","1,893"
"Banks County","13011","499"
"Barrow County","13013","1,582"
"Bartow County","13015","2,776"
"Ben Hill County","13017","673"
"Berrien County","13019","768"
"Bibb County","13021","7,330"
"Bleckley County","13023","329"
"Brantley County","13025","565"
"Brooks County","13027","873"
"Bryan County","13029","455"
"Bulloch County","13031","1,540"
"Burke County","13033","1,249"
"Butts County","13035","1,288"
"Calhoun County","13037","498"
"Camden County","13039","1,000"
"Candler County","13043","231"
"Carroll County","13045","2,636"
"Catoosa County","13047","754"
"Charlton County","13049","272"
"Chatham County","13051","7,143"
"Chattahoochee County","13053","132"
"Chattooga County","13055","857"
"Cherokee County","13057","2,932"
"Clarke County","13059","2,740"
"Clay County","13061","234"
"Clayton County","13063","13,081"
"Clinch County","13065","242"
"Cobb County","13067","14,555"
"Coffee County","13069","1,036"
"Colquitt County","13071","1,308"
"Columbia County","13073","2,571"
"Cook County","13075","486"
"Coweta County","13077","2,843"
"Crawford County","13079","579"
"Crisp County","13081","1,061"
"Dade County","13083","223"
"Dawson County","13085","372"
"Decatur County","13087","923"
"DeKalb County","13089","23,413"
"Dodge County","13091","633"
"Dooly County","13093","499"
"Dougherty County","13095","4,160"
"Douglas County","13097","3,553"
"Early County","13099","397"
"Echols County","13101","69"
"Effingham County","13103","867"
"Elbert County","13105","729"
"Emanuel County","13107","892"
"Evans County","13109","345"
"Fannin County","13111","452"
"Fayette County","13113","2,351"
"Floyd County","13115","2,197"
"Forsyth County","13117","2,338"
"Franklin County","13119","413"
"Fulton County","13121","21,898"
"Gilmer County","13123","623"
"Glascock County","13125","146"
"Glynn County","13127","2,846"
"Gordon County","13129","865"
"Grady County","13131","1,027"
"Greene County","13133","790"
"Gwinnett County","13135","12,079"
"Habersham County","13137","697"
"Hall County","13139","3,059"
"Hancock County","13141","497"
"Haralson County","13143","609"
"Harris County","13145","612"
"Hart County","13147","652"
"Heard County","13149","120"
"Henry County","13151","4,822"
"Houston County","13153","3,587"
"Irwin County","13155","209"
"Jackson County","13157","1,063"
"Jasper County","13159","698"
"Jeff Davis County","13161","151"
"Jefferson County","13163","852"
"Jenkins County","13165","284"
"Johnson County","13167","207"
"Jones County","13169","417"
"Lamar County","13171","598"
"Lanier County","13173","176"
"Laurens County","13175","1,902"
"Lee County","13177","419"
"Liberty County","13179","1,322"
"Lincoln County","13181","339"
"Long County","13183","187"
"Lowndes County","13185","3,016"
"Lumpkin County","13187","270"
"Macon County","13193","538"
"Madison County","13195","579"
"Marion County","13197","209"
"McDuffie County","13189","854"
"McIntosh County","13191","452"
"Meriwether County","13199","925"
"Miller County","13201","137"
"Mitchell County","13205","818"
"Monroe County","13207","580"
"Montgomery County","13209","198"
"Morgan County","13211","561"
"Murray County","13213","612"
"Muscogee County","13215","6,860"
"Newton County","13217","3,397"
"Oconee County","13219","405"
"Oglethorpe County","13221","206"
"Paulding County","13223","1,656"
"Peach County","13225","964"
"Pickens County","13227","417"
"Pierce County","13229","404"
"Pike County","13231","375"
"Polk County","13233","817"
"Pulaski County","13235","297"
"Putnam County","13237","414"
"Quitman County","13239","*"
"Rabun County","13241","300"
"Randolph County","13243","252"
"Richmond County","13245","8,025"
"Rockdale County","13247","2,191"
"Schley County","13249","237"
"Screven County","13251","497"
"Seminole County","13253","263"
"Spalding County","13255","1,587"
"Stephens County","13257","627"
"Stewart County","13259","249"
"Sumter County","13261","1,093"
"Talbot County","13263","184"
"Taliaferro County","13265","57"
"Tattnall County","13267","381"
"Taylor County","13269","256"
"Telfair County","13271","328"
"Terrell County","13273","451"
"Thomas County","13275","1,663"
"Tift County","13277","856"
"Toombs County","13279","598"
"Towns County","13281","153"
"Treutlen County","13283","243"
"Troup County","13285","1,871"
"Turner County","13287","232"
"Twiggs County","13289","414"
"Union County","13291","367"
"Unknown","13999","73"
"Upson County","13293","733"
"Walker County","13295","1,318"
"Walton County","13297","2,031"
"Ware County","13299","958"
"Warren County","13301","237"
"Washington County","13303","624"
"Wayne County","13305","851"
"Webster County","13307","79"
"Wheeler County","13309","74"
"White County","13311","357"
"Whitfield County","13313","1,510"
"Wilcox County","13315","212"
"Wilkes County","13317","427"
"Wilkinson County","13319","371"
"Worth County","13321","456"
