"County","FIPS","Prevalent Count"
"Anderson County","48001","1,346"
"Andrews County","48003","198"
"Angelina County","48005","2,334"
"Aransas County","48007","607"
"Archer County","48009","227"
"Armstrong County","48011","24"
"Atascosa County","48013","1,855"
"Austin County","48015","703"
"Bailey County","48017","202"
"Bandera County","48019","446"
"Bastrop County","48021","1,681"
"Baylor County","48023","103"
"Bee County","48025","1,205"
"Bell County","48027","6,483"
"Bexar County","48029","56,091"
"Blanco County","48031","262"
"Borden County","48033","12"
"Bosque County","48035","382"
"Bowie County","48037","2,113"
"Brazoria County","48039","7,072"
"Brazos County","48041","3,521"
"Brewster County","48043","116"
"Briscoe County","48045","*"
"Brooks County","48047","366"
"Brown County","48049","655"
"Burleson County","48051","503"
"Burnet County","48053","792"
"Caldwell County","48055","1,645"
"Calhoun County","48057","594"
"Callahan County","48059","361"
"Cameron County","48061","13,090"
"Camp County","48063","369"
"Carson County","48065","69"
"Cass County","48067","680"
"Castro County","48069","210"
"Chambers County","48071","988"
"Cherokee County","48073","1,075"
"Childress County","48075","148"
"Clay County","48077","166"
"Cochran County","48079","146"
"Coke County","48081","97"
"Coleman County","48083","177"
"Collin County","48085","11,431"
"Collingsworth County","48087","61"
"Colorado County","48089","563"
"Comal County","48091","2,427"
"Comanche County","48093","286"
"Concho County","48095","109"
"Cooke County","48097","749"
"Coryell County","48099","926"
"Cottle County","48101","45"
"Crane County","48103","88"
"Crockett County","48105","74"
"Crosby County","48107","175"
"Culberson County","48109","31"
"Dallam County","48111","181"
"Dallas County","48113","65,613"
"Dawson County","48115","368"
"Deaf Smith County","48117","491"
"Delta County","48119","252"
"Denton County","48121","7,099"
"DeWitt County","48123","559"
"Dickens County","48125","17"
"Dimmit County","48127","671"
"Donley County","48129","22"
"Duval County","48131","641"
"Eastland County","48133","404"
"Ector County","48135","3,494"
"Edwards County","48137","330"
"El Paso County","48141","24,721"
"Ellis County","48139","3,748"
"Erath County","48143","504"
"Falls County","48145","415"
"Fannin County","48147","500"
"Fayette County","48149","545"
"Fisher County","48151","124"
"Floyd County","48153","152"
"Foard County","48155","19"
"Fort Bend County","48157","12,626"
"Franklin County","48159","188"
"Freestone County","48161","463"
"Frio County","48163","703"
"Gaines County","48165","288"
"Galveston County","48167","7,910"
"Garza County","48169","117"
"Gillespie County","48171","527"
"Glasscock County","48173","99"
"Goliad County","48175","274"
"Gonzales County","48177","597"
"Gray County","48179","359"
"Grayson County","48181","2,309"
"Gregg County","48183","3,468"
"Grimes County","48185","746"
"Guadalupe County","48187","3,039"
"Hale County","48189","938"
