"County","FIPS","Prevalent Count"
"Beaverhead County","30001","43"
"Big Horn County","30003","703"
"Blaine County","30005","171"
"Broadwater County","30007","115"
"Carbon County","30009","85"
"Carter County","30011","11"
"Cascade County","30013","1,408"
"Chouteau County","30015","74"
"Custer County","30017","82"
"Daniels County","30019","37"
"Dawson County","30021","108"
"Deer Lodge County","30023","114"
"Fallon County","30025","15"
"Fergus County","30027","123"
"Flathead County","30029","1,389"
"Gallatin County","30031","695"
"Garfield County","30033","15"
"Glacier County","30035","420"
"Golden Valley County","30037","*"
"Granite County","30039","39"
"Hill County","30041","248"
"Jefferson County","30043","298"
"Judith Basin County","30045","30"
"Lake County","30047","444"
"Lewis and Clark County","30049","703"
"Liberty County","30051","32"
"Lincoln County","30053","339"
"Madison County","30057","21"
"McCone County","30055","18"
"Meagher County","30059","29"
"Mineral County","30061","75"
"Missoula County","30063","1,316"
"Musselshell County","30065","35"
"Park County","30067","166"
"Petroleum County","30069","*"
"Phillips County","30071","59"
"Pondera County","30073","148"
"Powder River County","30075","*"
"Powell County","30077","53"
"Ravalli County","30081","500"
"Richland County","30083","83"
"Roosevelt County","30085","316"
"Rosebud County","30087","310"
"Sanders County","30089","127"
"Sheridan County","30091","78"
"Silver Bow County","30093","371"
"Stillwater County","30095","99"
"Sweet Grass County","30097","26"
"Teton County","30099","69"
"Toole County","30101","45"
"Treasure County","30103","17"
"Valley County","30105","139"
"Wheatland County","30107","19"
"Wibaux County","30109","18"
"Yellowstone County","30111","2,117"
