"County","FIPS","Prevalent Count"
"Adair County","29001","336"
"Andrew County","29003","357"
"Atchison County","29005","98"
"Audrain County","29007","513"
"Barry County","29009","606"
"Barton County","29011","173"
"Bates County","29013","265"
"Benton County","29015","408"
"Bollinger County","29017","151"
"Boone County","29019","2,217"
"Buchanan County","29021","1,504"
"Butler County","29023","867"
"Caldwell County","29025","183"
"Callaway County","29027","641"
"Camden County","29029","504"
"Cape Girardeau County","29031","1,272"
"Carroll County","29033","114"
"Carter County","29035","98"
"Cass County","29037","1,665"
"Cedar County","29039","297"
"Chariton County","29041","175"
"Christian County","29043","1,157"
"Clark County","29045","88"
"Clay County","29047","4,346"
"Clinton County","29049","314"
"Cole County","29051","807"
"Cooper County","29053","504"
"Crawford County","29055","440"
"Dade County","29057","167"
"Dallas County","29059","246"
"Daviess County","29061","112"
"DeKalb County","29063","78"
"Dent County","29065","374"
"Douglas County","29067","165"
"Dunklin County","29069","731"
"Franklin County","29071","1,892"
"Gasconade County","29073","219"
"Gentry County","29075","125"
"Greene County","29077","4,849"
"Grundy County","29079","152"
"Harrison County","29081","212"
"Henry County","29083","395"
"Hickory County","29085","110"
"Holt County","29087","67"
"Howard County","29089","162"
"Howell County","29091","844"
"Iron County","29093","172"
"Jackson County","29095","17,746"
"Jasper County","29097","2,290"
"Jefferson County","29099","3,510"
"Johnson County","29101","660"
"Knox County","29103","37"
"Laclede County","29105","448"
"Lafayette County","29107","551"
"Lawrence County","29109","431"
"Lewis County","29111","121"
"Lincoln County","29113","949"
"Linn County","29115","180"
"Livingston County","29117","224"
"Macon County","29121","247"
"Madison County","29123","299"
"Maries County","29125","56"
"Marion County","29127","585"
"McDonald County","29119","449"
"Mercer County","29129","41"
"Miller County","29131","325"
"Mississippi County","29133","502"
"Moniteau County","29135","107"
"Monroe County","29137","148"
"Montgomery County","29139","185"
"Morgan County","29141","257"
"New Madrid County","29143","492"
"Newton County","29145","509"
"Nodaway County","29147","192"
"Oregon County","29149","145"
"Osage County","29151","160"
"Ozark County","29153","117"
"Pemiscot County","29155","522"
"Perry County","29157","306"
"Pettis County","29159","651"
"Phelps County","29161","642"
"Pike County","29163","306"
"Platte County","29165","997"
"Polk County","29167","464"
"Pulaski County","29169","588"
"Putnam County","29171","99"
"Ralls County","29173","94"
"Randolph County","29175","379"
"Ray County","29177","398"
"Reynolds County","29179","49"
"Ripley County","29181","212"
"Saline County","29195","379"
"Schuyler County","29197","68"
"Scotland County","29199","84"
"Scott County","29201","877"
"Shannon County","29203","122"
"Shelby County","29205","54"
"St. Charles County","29183","5,567"
"St. Clair County","29185","96"
"St. Francois County","29187","1,038"
"St. Louis city","29510","11,156"
"St. Louis County","29189","27,826"
"Ste. Genevieve County","29186","213"
"Stoddard County","29207","724"
"Stone County","29209","428"
"Sullivan County","29211","93"
"Taney County","29213","750"
"Texas County","29215","400"
"Unknown","29999","104"
"Vernon County","29217","265"
"Warren County","29219","441"
"Washington County","29221","411"
"Wayne County","29223","200"
"Webster County","29225","447"
"Worth County","29227","41"
"Wright County","29229","351"
