"County","FIPS","Prevalent Count"
"Albany County","36001","6,320"
"Allegany County","36003","732"
"Bronx County","36005","47,981"
"Broome County","36007","3,361"
"Cattaraugus County","36009","1,330"
"Cayuga County","36011","1,527"
"Chautauqua County","36013","2,509"
"Chemung County","36015","1,961"
"Chenango County","36017","735"
"Clinton County","36019","1,421"
"Columbia County","36021","1,170"
"Cortland County","36023","545"
"Delaware County","36025","802"
"Dutchess County","36027","5,125"
"Erie County","36029","19,591"
"Essex County","36031","741"
"Franklin County","36033","859"
"Fulton County","36035","940"
"Genesee County","36037","1,241"
"Greene County","36039","814"
"Hamilton County","36041","116"
"Herkimer County","36043","1,587"
"Jefferson County","36045","1,872"
"Kings County","36047","68,773"
"Lewis County","36049","375"
"Livingston County","36051","973"
"Madison County","36053","1,076"
"Monroe County","36055","17,716"
"Montgomery County","36057","726"
"Nassau County","36059","28,278"
"New York County","36061","35,527"
"Niagara County","36063","4,556"
"Oneida County","36065","4,185"
"Onondaga County","36067","8,444"
"Ontario County","36069","1,780"
"Orange County","36071","6,402"
"Orleans County","36073","550"
"Oswego County","36075","1,484"
"Otsego County","36077","906"
"Putnam County","36079","1,181"
"Queens County","36081","56,717"
"Rensselaer County","36083","2,936"
"Richmond County","36085","10,496"
"Rockland County","36087","6,374"
"Saratoga County","36091","2,895"
"Schenectady County","36093","2,848"
"Schoharie County","36095","415"
"Schuyler County","36097","299"
"Seneca County","36099","369"
"St. Lawrence County","36089","1,805"
"Steuben County","36101","1,244"
"Suffolk County","36103","29,114"
"Sullivan County","36105","1,164"
"Tioga County","36107","598"
"Tompkins County","36109","742"
"Ulster County","36111","2,646"
"Unknown","36999","460"
"Warren County","36113","1,210"
"Washington County","36115","824"
"Wayne County","36117","1,618"
"Westchester County","36119","18,222"
"Wyoming County","36121","433"
"Yates County","36123","274"
