"County","FIPS","Prevalent Count"
"Adams County","08001","9,740"
"Alamosa County","08003","307"
"Arapahoe County","08005","10,169"
"Archuleta County","08007","126"
"Baca County","08009","56"
"Bent County","08011","85"
"Boulder County","08013","3,559"
"Broomfield County","08014","728"
"Chaffee County","08015","144"
"Cheyenne County","08017","15"
"Clear Creek County","08019","55"
"Conejos County","08021","193"
"Costilla County","08023","95"
"Crowley County","08025","121"
"Custer County","08027","89"
"Delta County","08029","439"
"Denver County","08031","10,828"
"Dolores County","08033","47"
"Douglas County","08035","1,779"
"Eagle County","08037","234"
"El Paso County","08041","7,616"
"Elbert County","08039","294"
"Fremont County","08043","702"
"Garfield County","08045","305"
"Gilpin County","08047","*"
"Grand County","08049","86"
"Gunnison County","08051","81"
"Hinsdale County","08053","*"
"Huerfano County","08055","162"
"Jackson County","08057","*"
"Jefferson County","08059","6,257"
"Kiowa County","08061","*"
"Kit Carson County","08063","55"
"La Plata County","08067","618"
"Lake County","08065","41"
"Larimer County","08069","3,055"
"Las Animas County","08071","225"
"Lincoln County","08073","12"
"Logan County","08075","276"
"Mesa County","08077","2,181"
"Mineral County","08079","15"
"Moffat County","08081","76"
"Montezuma County","08083","703"
"Montrose County","08085","707"
"Morgan County","08087","308"
"Otero County","08089","371"
"Ouray County","08091","*"
"Park County","08093","115"
"Phillips County","08095","78"
"Pitkin County","08097","60"
"Prowers County","08099","313"
"Pueblo County","08101","3,369"
"Rio Blanco County","08103","51"
"Rio Grande County","08105","173"
"Routt County","08107","105"
"Saguache County","08109","68"
"San Juan County","08111","11"
"San Miguel County","08113","21"
"Sedgwick County","08115","24"
"Summit County","08117","88"
"Teller County","08119","145"
"Unknown","08999","36"
"Washington County","08121","35"
"Weld County","08123","3,334"
"Yuma County","08125","88"
