"County","FIPS","Prevalent Count"
"Arkansas County","05001","446"
"Ashley County","05003","695"
"Baxter County","05005","652"
"Benton County","05007","3,205"
"Boone County","05009","789"
"Bradley County","05011","488"
"Calhoun County","05013","221"
"Carroll County","05015","310"
"Chicot County","05017","292"
"Clark County","05019","585"
"Clay County","05021","243"
"Cleburne County","05023","416"
"Cleveland County","05025","420"
"Columbia County","05027","654"
"Conway County","05029","462"
"Craighead County","05031","1,754"
"Crawford County","05033","742"
"Crittenden County","05035","2,099"
"Cross County","05037","418"
"Dallas County","05039","187"
"Desha County","05041","446"
"Drew County","05043","424"
"Faulkner County","05045","1,953"
"Franklin County","05047","190"
"Fulton County","05049","158"
"Garland County","05051","1,850"
"Grant County","05053","451"
"Greene County","05055","499"
"Hempstead County","05057","625"
"Hot Spring County","05059","487"
"Howard County","05061","311"
"Independence County","05063","590"
"Izard County","05065","151"
"Jackson County","05067","321"
"Jefferson County","05069","2,146"
"Johnson County","05071","370"
"Lafayette County","05073","141"
"Lawrence County","05075","273"
"Lee County","05077","597"
"Lincoln County","05079","190"
"Little River County","05081","245"
"Logan County","05083","301"
"Lonoke County","05085","1,013"
"Madison County","05087","388"
"Marion County","05089","145"
"Miller County","05091","1,097"
"Mississippi County","05093","1,342"
"Monroe County","05095","313"
"Montgomery County","05097","114"
"Nevada County","05099","193"
"Newton County","05101","65"
"Ouachita County","05103","677"
"Perry County","05105","126"
"Phillips County","05107","826"
"Pike County","05109","177"
"Poinsett County","05111","418"
"Polk County","05113","279"
"Pope County","05115","751"
"Prairie County","05117","194"
"Pulaski County","05119","10,338"
"Randolph County","05121","283"
"Saline County","05125","757"
"Scott County","05127","80"
"Searcy County","05129","127"
"Sebastian County","05131","2,121"
"Sevier County","05133","244"
"Sharp County","05135","221"
"St. Francis County","05123","758"
"Stone County","05137","149"
"Union County","05139","1,416"
"Unknown","05999","*"
"Van Buren County","05141","172"
"Washington County","05143","2,566"
"White County","05145","1,062"
"Woodruff County","05147","192"
"Yell County","05149","317"
