"County","FIPS","Prevalent Count"
"Autauga County","01001","1,531"
"Baldwin County","01003","3,243"
"Barbour County","01005","1,126"
"Bibb County","01007","649"
"Blount County","01009","1,060"
"Bullock County","01011","596"
"Butler County","01013","788"
"Calhoun County","01015","3,236"
"Chambers County","01017","1,514"
"Cherokee County","01019","927"
"Chilton County","01021","873"
"Choctaw County","01023","440"
"Clarke County","01025","1,073"
"Clay County","01027","526"
"Cleburne County","01029","253"
"Coffee County","01031","1,360"
"Colbert County","01033","1,339"
"Conecuh County","01035","583"
"Coosa County","01037","531"
"Covington County","01039","834"
"Crenshaw County","01041","296"
"Cullman County","01043","1,314"
"Dale County","01045","1,266"
"Dallas County","01047","1,611"
"DeKalb County","01049","1,022"
"Elmore County","01051","1,420"
"Escambia County","01053","1,001"
"Etowah County","01055","2,339"
"Fayette County","01057","483"
"Franklin County","01059","455"
"Geneva County","01061","672"
"Greene County","01063","495"
"Hale County","01065","691"
"Henry County","01067","511"
"Houston County","01069","1,694"
"Jackson County","01071","1,009"
"Jefferson County","01073","21,948"
"Lamar County","01075","336"
"Lauderdale County","01077","1,652"
"Lawrence County","01079","757"
"Lee County","01081","2,482"
"Limestone County","01083","1,630"
"Lowndes County","01085","593"
"Macon County","01087","1,097"
"Madison County","01089","7,922"
"Marengo County","01091","763"
"Marion County","01093","405"
"Marshall County","01095","1,579"
"Mobile County","01097","11,881"
"Monroe County","01099","559"
"Montgomery County","01101","7,362"
"Morgan County","01103","2,211"
"Perry County","01105","414"
"Pickens County","01107","711"
"Pike County","01109","701"
"Randolph County","01111","608"
"Russell County","01113","1,747"
"Shelby County","01117","1,751"
"St. Clair County","01115","1,576"
"Sumter County","01119","533"
"Talladega County","01121","2,070"
"Tallapoosa County","01123","1,108"
"Tuscaloosa County","01125","4,349"
"Unknown","01999","41"
"Walker County","01127","1,348"
"Washington County","01129","506"
"Wilcox County","01131","465"
"Winston County","01133","311"
