"County","FIPS","Prevalent Count"
"Baker County","41001","205"
"Benton County","41003","895"
"Clackamas County","41005","7,113"
"Clatsop County","41007","650"
"Columbia County","41009","792"
"Coos County","41011","1,154"
"Crook County","41013","689"
"Curry County","41015","230"
"Deschutes County","41017","1,777"
"Douglas County","41019","1,830"
"Gilliam County","41021","12"
"Grant County","41023","83"
"Harney County","41025","116"
"Hood River County","41027","296"
"Jackson County","41029","3,190"
"Jefferson County","41031","405"
"Josephine County","41033","1,004"
"Klamath County","41035","1,028"
"Lake County","41037","54"
"Lane County","41039","4,809"
"Lincoln County","41041","690"
"Linn County","41043","2,133"
"Malheur County","41045","534"
"Marion County","41047","5,779"
"Morrow County","41049","267"
"Multnomah County","41051","13,706"
"Polk County","41053","1,253"
"Sherman County","41055","36"
"Tillamook County","41057","371"
"Umatilla County","41059","1,201"
"Union County","41061","365"
"Unknown","41999","31"
"Wallowa County","41063","59"
"Wasco County","41065","348"
"Washington County","41067","7,129"
"Wheeler County","41069","*"
"Yamhill County","41071","1,533"
