"County","FIPS","Prevalent Count"
"Adjuntas Municipio","72001","309"
"Aguada Municipio","72003","996"
"Aguadilla Municipio","72005","1,745"
"Aguas Buenas Municipio","72007","529"
"Aibonito Municipio","72009","426"
"Anasco Municipio","72011","672"
"Arecibo Municipio","72013","1,913"
"Arroyo Municipio","72015","257"
"Barceloneta Municipio","72017","545"
"Barranquitas Municipio","72019","493"
"Bayamon Municipio","72021","5,800"
"Cabo Rojo Municipio","72023","1,401"
"Caguas Municipio","72025","2,725"
"Camuy Municipio","72027","399"
"Canovanas Municipio","72029","525"
"Carolina Municipio","72031","2,856"
"Catano Municipio","72033","1,193"
"Cayey Municipio","72035","750"
"Ceiba Municipio","72037","192"
"Ciales Municipio","72039","399"
"Cidra Municipio","72041","419"
"Coamo Municipio","72043","726"
"Comerio Municipio","72045","242"
"Corozal Municipio","72047","761"
"Culebra Municipio","72049","*"
"Dorado Municipio","72051","516"
"Fajardo Municipio","72053","682"
"Florida Municipio","72054","*"
"Guanica Municipio","72055","436"
"Guayama Municipio","72057","639"
"Guayanilla Municipio","72059","533"
"Guaynabo Municipio","72061","1,273"
"Gurabo Municipio","72063","578"
"Hatillo Municipio","72065","637"
"Hormigueros Municipio","72067","490"
"Humacao Municipio","72069","1,263"
"Isabela Municipio","72071","885"
"Jayuya Municipio","72073","291"
"Juana Diaz Municipio","72075","1,072"
"Juncos Municipio","72077","630"
"Lajas Municipio","72079","440"
"Lares Municipio","72081","492"
"Las Marias Municipio","72083","164"
"Las Piedras Municipio","72085","821"
"Loiza Municipio","72087","1,249"
"Luquillo Municipio","72089","185"
"Manati Municipio","72091","1,232"
"Maricao Municipio","72093","63"
"Maunabo Municipio","72095","219"
"Mayaguez Municipio","72097","1,673"
"Moca Municipio","72099","813"
"Morovis Municipio","72101","524"
"Naguabo Municipio","72103","384"
"Naranjito Municipio","72105","560"
"Orocovis Municipio","72107","234"
"Patillas Municipio","72109","284"
"Penuelas Municipio","72111","392"
"Ponce Municipio","72113","3,684"
"Quebradillas Municipio","72115","492"
"Rincon Municipio","72117","298"
"Rio Grande Municipio","72119","489"
"Sabana Grande Municipio","72121","770"
"Salinas Municipio","72123","681"
"San German Municipio","72125","812"
"San Juan Municipio","72127","5,847"
"San Lorenzo Municipio","72129","567"
"San Sebastian Municipio","72131","749"
"Santa Isabel Municipio","72133","297"
"Toa Alta Municipio","72135","1,091"
"Toa Baja Municipio","72137","560"
"Trujillo Alto Municipio","72139","771"
"Unknown","72999","40"
"Utuado Municipio","72141","249"
"Vega Alta Municipio","72143","569"
"Vega Baja Municipio","72145","783"
"Vieques Municipio","72147","507"
"Villalba Municipio","72149","376"
"Yabucoa Municipio","72151","484"
"Yauco Municipio","72153","891"
