"County","FIPS","Prevalent Count"
"Abbeville County","45001","1,005"
"Aiken County","45003","4,192"
"Allendale County","45005","654"
"Anderson County","45007","4,072"
"Bamberg County","45009","771"
"Barnwell County","45011","792"
"Beaufort County","45013","3,231"
"Berkeley County","45015","4,606"
"Calhoun County","45017","757"
"Charleston County","45019","11,393"
"Cherokee County","45021","1,778"
"Chester County","45023","1,434"
"Chesterfield County","45025","1,775"
"Clarendon County","45027","1,352"
"Colleton County","45029","1,649"
"Darlington County","45031","2,573"
"Dillon County","45033","1,372"
"Dorchester County","45035","2,260"
"Edgefield County","45037","762"
"Fairfield County","45039","1,047"
"Florence County","45041","4,540"
"Georgetown County","45043","2,520"
"Greenville County","45045","9,080"
"Greenwood County","45047","1,635"
"Hampton County","45049","998"
"Horry County","45051","6,142"
"Jasper County","45053","783"
"Kershaw County","45055","1,944"
"Lancaster County","45057","1,571"
"Laurens County","45059","1,865"
"Lee County","45061","871"
"Lexington County","45063","5,382"
"Marion County","45067","1,155"
"Marlboro County","45069","1,340"
"McCormick County","45065","321"
"Newberry County","45071","1,207"
"Oconee County","45073","1,282"
"Orangeburg County","45075","3,747"
"Pickens County","45077","1,742"
"Richland County","45079","10,769"
"Saluda County","45081","396"
"Spartanburg County","45083","5,938"
"Sumter County","45085","3,630"
"Union County","45087","897"
"Unknown","45999","25"
"Williamsburg County","45089","1,469"
"York County","45091","4,158"
