"County","FIPS","Prevalent Count"
"Adams County","18001","604"
"Allen County","18003","7,595"
"Bartholomew County","18005","1,422"
"Benton County","18007","207"
"Blackford County","18009","474"
"Boone County","18011","1,438"
"Brown County","18013","200"
"Carroll County","18015","583"
"Cass County","18017","626"
"Clark County","18019","2,436"
"Clay County","18021","708"
"Clinton County","18023","452"
"Crawford County","18025","255"
"Daviess County","18027","556"
"Dearborn County","18029","806"
"Decatur County","18031","485"
"DeKalb County","18033","763"
"Delaware County","18035","2,101"
"Dubois County","18037","615"
"Elkhart County","18039","3,255"
"Fayette County","18041","499"
"Floyd County","18043","1,214"
"Fountain County","18045","310"
"Franklin County","18047","265"
"Fulton County","18049","314"
"Gibson County","18051","618"
"Grant County","18053","1,319"
"Greene County","18055","796"
"Hamilton County","18057","3,755"
"Hancock County","18059","1,605"
"Harrison County","18061","655"
"Hendricks County","18063","2,098"
"Henry County","18065","764"
"Howard County","18067","1,993"
"Huntington County","18069","781"
"Jackson County","18071","696"
"Jasper County","18073","553"
"Jay County","18075","331"
"Jefferson County","18077","581"
"Jennings County","18079","337"
"Johnson County","18081","2,030"
"Knox County","18083","761"
"Kosciusko County","18085","1,198"
"LaGrange County","18087","493"
"Lake County","18089","15,753"
"LaPorte County","18091","2,738"
"Lawrence County","18093","936"
"Madison County","18095","2,718"
"Marion County","18097","23,819"
"Marshall County","18099","600"
"Martin County","18101","114"
"Miami County","18103","555"
"Monroe County","18105","1,514"
"Montgomery County","18107","603"
"Morgan County","18109","1,147"
"Newton County","18111","157"
"Noble County","18113","602"
"Ohio County","18115","126"
"Orange County","18117","389"
"Owen County","18119","295"
"Parke County","18121","248"
"Perry County","18123","295"
"Pike County","18125","245"
"Porter County","18127","2,800"
"Posey County","18129","465"
"Pulaski County","18131","234"
"Putnam County","18133","445"
"Randolph County","18135","521"
"Ripley County","18137","427"
"Rush County","18139","199"
"Scott County","18143","490"
"Shelby County","18145","669"
"Spencer County","18147","311"
"St. Joseph County","18141","5,156"
"Starke County","18149","320"
"Steuben County","18151","507"
"Sullivan County","18153","330"
"Switzerland County","18155","118"
"Tippecanoe County","18157","2,110"
"Tipton County","18159","222"
"Union County","18161","137"
"Unknown","18999","84"
"Vanderburgh County","18163","3,055"
"Vermillion County","18165","345"
"Vigo County","18167","1,912"
"Wabash County","18169","454"
"Warren County","18171","57"
"Warrick County","18173","645"
"Washington County","18175","584"
"Wayne County","18177","1,942"
"Wells County","18179","304"
"White County","18181","294"
"Whitley County","18183","451"
